Date	Sunrise	Sunset	Daylength
01/01/2015	06:58:39 AM	04:55:15 PM	9h 56m 36s
01/02/2015	06:58:48 AM	04:56:02 PM	9h 57m 14s
01/03/2015	06:58:56 AM	04:56:49 PM	9h 57m 53s
01/04/2015	06:59:01 AM	04:57:37 PM	9h 58m 36s
01/05/2015	06:59:05 AM	04:58:27 PM	9h 59m 22s
01/06/2015	06:59:06 AM	04:59:17 PM	10h 0m 11s
01/07/2015	06:59:06 AM	05:00:08 PM	10h 1m 2s
01/08/2015	06:59:05 AM	05:01:00 PM	10h 1m 55s
01/09/2015	06:59:01 AM	05:01:53 PM	10h 2m 52s
01/10/2015	06:58:55 AM	05:02:47 PM	10h 3m 52s
01/11/2015	06:58:48 AM	05:03:41 PM	10h 4m 53s
01/12/2015	06:58:38 AM	05:04:36 PM	10h 5m 58s
01/13/2015	06:58:27 AM	05:05:31 PM	10h 7m 4s
01/14/2015	06:58:14 AM	05:06:27 PM	10h 8m 13s
01/15/2015	06:57:59 AM	05:07:23 PM	10h 9m 24s
01/16/2015	06:57:42 AM	05:08:20 PM	10h 10m 38s
01/17/2015	06:57:24 AM	05:09:18 PM	10h 11m 54s
01/18/2015	06:57:03 AM	05:10:16 PM	10h 13m 13s
01/19/2015	06:56:41 AM	05:11:14 PM	10h 14m 33s
01/20/2015	06:56:17 AM	05:12:12 PM	10h 15m 55s
01/21/2015	06:55:51 AM	05:13:11 PM	10h 17m 20s
01/22/2015	06:55:24 AM	05:14:09 PM	10h 18m 45s
01/23/2015	06:54:54 AM	05:15:08 PM	10h 20m 14s
01/24/2015	06:54:23 AM	05:16:07 PM	10h 21m 44s
01/25/2015	06:53:51 AM	05:17:07 PM	10h 23m 16s
01/26/2015	06:53:16 AM	05:18:06 PM	10h 24m 50s
01/27/2015	06:52:40 AM	05:19:05 PM	10h 26m 25s
01/28/2015	06:52:03 AM	05:20:05 PM	10h 28m 2s
01/29/2015	06:51:24 AM	05:21:04 PM	10h 29m 40s
01/30/2015	06:50:43 AM	05:22:03 PM	10h 31m 20s
01/31/2015	06:50:00 AM	05:23:02 PM	10h 33m 2s
02/01/2015	06:49:17 AM	05:24:01 PM	10h 34m 44s
02/02/2015	06:48:31 AM	05:25:00 PM	10h 36m 29s
02/03/2015	06:47:44 AM	05:25:59 PM	10h 38m 15s
